id,vc,value,shares,buyout
370,no,33600000,2800000,no
371,yes,33800000,2600000,no
372,no,34500000,3000000,no
373,no,35000000,5000000,no
374,no,35000000,2500000,no
375,no,35100000,2700000,no
376,no,35100000,2700000,no
377,yes,35100000,2700000,no
378,no,35200000,2200000,no
379,yes,35200000,2200000,no
380,no,35680000,1784000,yes
381,yes,35829024,3257184,no
382,yes,36000000,2000000,no
383,yes,36000000,2400000,no
384,yes,36000000,3000000,no
385,no,36800000,2300000,no
386,yes,37300000,1865000,no
387,yes,37400000,2200000,no
388,yes,37500000,2500000,no
389,yes,37500000,2500000,no
390,yes,37500000,2500000,no
391,yes,37600000,2350000,no
392,no,37800000,3150000,yes
393,no,38250000,2550000,no
394,yes,38400000,2400000,no
395,yes,39000000,3000000,no
396,yes,39000000,2000000,no
397,no,39000000,3000000,no
398,no,39875000,2750000,no
399,no,39900000,2850000,no
400,yes,40000000,4000000,no
401,yes,40500000,2700000,yes
402,no,40500000,2700000,yes
403,no,40500000,2250000,no
404,no,40833310,2333332,no
405,yes,41223725,3297898,yes
406,no,41250000,3750000,no
407,no,41250534,2426502,no
408,yes,42000000,3500000,no
409,no,42000000,2800000,no
410,no,42000000,3000000,no
411,yes,42000000,3000000,no
412,yes,42000000,4000000,no
413,no,42000000,3000000,no
414,no,42205000,3670000,no
415,yes,43500000,3000000,no
416,no,44395000,3415000,yes
417,no,44500000,4450000,no
418,yes,45000000,3000000,no
419,yes,45500000,3500000,no
420,no,45750000,3000000,no
421,no,47125000,3250000,no
422,no,48000000,3000000,yes
423,yes,48000000,4000000,no
424,no,48750000,3250000,no
425,yes,48875000,5750000,no
426,yes,49000000,3500000,yes
427,yes,49639500,3677000,no
428,no,50000000,5000000,no
429,no,51300000,2850000,no
430,yes,52000000,4000000,no
431,no,52200000,3600000,no
432,yes,52500000,3750000,no
433,yes,52500000,3750000,no
434,yes,52500000,3500000,no
435,yes,52500000,3500000,no
436,no,54000000,9000000,no
437,yes,54000000,3000000,yes
438,yes,54000000,3000000,no
439,yes,54250000,3500000,yes
440,no,55000000,2500000,no
441,no,55400000,5540000,no
442,yes,55500000,3000000,no
443,yes,55500000,3700000,yes
444,no,57100000,2855000,no
445,yes,57600000,2880000,no
446,yes,58100000,4150000,no
447,yes,59400000,3300000,no
448,no,59400000,3600000,yes
449,yes,61200000,3600000,no
450,yes,63000000,4500000,yes
451,no,66000000,4400000,yes
452,no,66000000,4000000,no
453,no,67200000,4800000,no
454,no,69750000,4500000,no
455,yes,72187500,4125000,yes
456,no,72500000,5000000,no
457,yes,75000000,5000000,no
458,yes,75000000,5000000,no
459,no,79000000,4000000,no
460,no,80345500,4343000,no
461,yes,80848420,4042421,yes
462,no,82500000,5500000,no
463,no,83600000,4400000,no
464,no,86593750,4075000,no
465,no,90200000,8200000,no
466,no,92429000,5437000,no
467,no,95000000,5000000,no
468,no,104400000,5800000,no
469,no,104400000,5800000,no
470,no,108199996,5620779,no
471,no,111000000,5550000,no
472,no,114000000,6000000,no
473,no,117000000,6000000,no
474,no,119625000,5500000,no
475,yes,120000000,7500000,no
476,no,121900000,5300000,no
477,no,128000000,6400000,no
478,no,129800000,5900000,no
479,no,143242125,11018625,yes
480,no,159500000,7250000,no
481,no,165000000,11000000,no
482,no,234600000,9200000,no
