height,weight,earn,earnk,ethnicity,education,mother_education,father_education,walk,exercise,smokenow,tense,angry,age,sex
68,164,16000,16,White,8,8,8,4,1,no,2,2,43,male
72,185,90000,90,White,12,12,12,8,7,no,6,6,26,male
66,185,8000,8,White,12,12,NA,5,2,yes,0,0,42,female
68,150,20000,20,White,10,NA,NA,1,1,no,0,0,32,male
68,130,15000,15,White,12,12,12,6,7,yes,5,5,18,female
69,180,12000,12,White,12,12,12,8,1,no,0,0,60,female
63,170,25000,25,White,9,9,NA,8,2,no,2,2,67,female
64,128,24000,24,White,16,16,16,7,3,no,0,0,46,female
65,175,20000,20,White,14,14,14,8,3,no,0,0,39,female
61,128,19000,19,White,12,12,12,8,1,no,0,0,46,female
71,180,25000,25,White,8,NA,8,3,1,yes,0,0,53,male
72,172,10000,10,White,12,12,12,8,1,no,0,0,49,male
66,125,40000,40,White,16,16,16,8,1,yes,1,1,34,female
69,175,62000,62,Black,8,NA,NA,1,1,no,0,0,35,male
63,105,25000,25,Black,13,13,13,7,6,no,3,3,38,female
62,NA,0,0,White,10,10,NA,8,1,yes,6,6,57,female
60,145,0,0,Hispanic,10,10,NA,8,1,no,0,0,48,female
62,138,10000,10,White,8,NA,NA,2,1,no,0,0,88,female
68,160,25000,25,White,14,14,14,8,1,no,0,0,64,male
70,150,25000,25,White,12,12,NA,4,6,no,0,0,24,male
71,165,25000,25,White,14,14,14,4,5,yes,0,0,32,male
71,209,19000,19,White,16,16,16,8,4,no,4,4,61,male
68,210,44000,44,White,16,16,16,4,4,no,2,2,48,male
66,145,0,0,White,12,12,12,8,6,no,0,0,19,female
63,140,0,0,White,18,18,18,8,1,yes,0,0,55,female
60,105,15000,15,White,14,14,14,8,2,yes,0,0,49,female
63,137,17000,17,White,12,12,NA,5,1,no,5,5,36,female
68,150,24000,24,White,12,12,12,1,1,no,0,0,56,male
70,150,50000,50,White,16,16,16,8,6,no,0,0,38,male
64,170,23000,23,White,12,12,12,8,1,no,7,7,37,female
70,143,13000,13,White,12,12,12,8,7,no,0,0,74,male
66,178,20000,20,Black,NA,NA,NA,8,1,no,0,0,72,female
66,NA,45000,45,White,12,12,12,4,7,yes,7,7,49,female
68,180,65000,65,White,16,16,16,1,6,no,1,1,46,male
61,135,7000,7,White,12,12,NA,4,1,no,3,3,63,female
68,180,40000,40,White,18,18,18,8,2,no,0,0,63,male
66,145,15000,15,White,17,17,17,7,1,no,3,3,43,female
70,164,20000,20,White,16,16,16,5,5,no,0,0,25,male
68,150,25000,25,White,6,NA,NA,1,1,yes,0,0,77,male
71,175,20000,20,White,12,12,12,8,2,no,7,7,50,male
63,175,5000,5,White,9,NA,9,2,1,no,0,0,67,male
65,195,20000,20,White,12,12,12,8,1,no,0,0,42,female
66,150,25000,25,White,12,12,12,3,1,no,0,0,49,female
64,110,15000,15,White,14,14,14,8,6,no,0,0,20,female
70,195,49000,49,White,13,13,13,7,7,yes,0,0,37,male
70,165,25000,25,White,8,8,8,8,7,yes,0,0,24,male
64,102,0,0,White,12,NA,12,3,1,no,3,3,36,female
63,150,0,0,White,16,16,16,6,4,no,7,7,35,female
62,158,25000,25,White,12,12,12,5,1,no,0,0,65,female
65,160,30000,30,White,12,12,12,5,1,no,0,0,67,female
66,142,25000,25,White,12,12,12,8,1,no,1,1,62,female
60,125,35000,35,White,16,16,16,8,1,no,0,0,72,female
66,128,11000,11,White,14,14,14,7,1,no,0,0,57,female
61,160,16000,16,White,15,15,15,3,7,no,1,1,38,female
72,145,35000,35,White,14,14,14,1,7,no,2,2,43,male
74,240,125000,125,White,18,18,18,4,1,no,7,7,45,male
67,185,23000,23,White,12,12,12,3,1,yes,2,2,47,female
66,170,17000,17,White,16,16,16,1,1,no,1,1,28,female
62,125,0,0,White,13,13,13,2,2,yes,7,7,31,female
62,115,27000,27,White,12,12,12,2,1,no,3,3,41,female
72,180,70000,70,White,14,14,14,8,7,no,0,0,32,male
65,170,35000,35,White,15,15,15,8,1,no,0,0,47,female
60,150,10000,10,White,12,12,12,1,1,yes,3,3,62,female
64,107,15000,15,White,13,NA,13,8,4,yes,4,4,30,female
62,135,35000,35,White,15,15,15,6,6,no,0,0,39,female
66,130,15000,15,White,12,12,12,8,5,no,1,1,38,female
64,250,12000,12,White,12,12,12,7,6,no,0,0,39,female
71,135,8000,8,White,12,NA,NA,1,1,yes,0,0,68,male
65,130,8000,8,White,12,12,12,7,1,yes,0,0,50,female
73,225,35000,35,White,18,18,18,5,2,no,0,0,50,male
69,175,45000,45,White,11,NA,NA,8,1,yes,0,0,51,male
64,175,0,0,White,12,12,12,8,7,no,0,0,58,female
64,118,5000,5,White,12,12,12,7,7,no,4,4,27,female
64,123,15000,15,White,14,14,14,4,2,no,0,0,22,female
61,136,15000,15,White,12,12,12,6,1,no,3,3,77,female
67,240,24000,24,White,18,18,18,7,2,no,3,3,51,female
62,189,25000,25,White,13,13,13,5,1,yes,5,5,32,female
63,165,25000,25,Black,14,14,14,4,2,no,0,0,54,female
67,105,20000,20,Other,10,10,NA,1,1,yes,0,0,28,male
68,140,24000,24,White,12,12,12,8,4,no,0,0,24,female
72,165,44000,44,White,16,16,16,8,4,no,1,1,46,male
70,187,69000,69,White,12,12,12,7,1,yes,0,0,38,male
70,188,62000,62,White,18,18,18,8,4,no,0,0,44,male
60,145,25000,25,Black,15,15,15,2,1,no,1,1,65,female
67,170,32000,32,Black,14,14,14,6,6,no,0,0,32,male
63,125,20000,20,Black,12,12,12,8,1,yes,0,0,33,female
66,112,32000,32,Other,18,18,18,5,2,no,0,0,35,female
66,135,25000,25,White,17,17,17,8,5,no,1,1,50,female
71,185,170000,170,White,18,18,18,5,4,no,0,0,45,male
66,185,0,0,Black,11,11,11,8,5,no,2,2,29,female
67,170,35000,35,White,16,16,16,1,7,no,0,0,33,male
76,194,40000,40,Black,16,16,16,5,6,no,1,1,38,male
69,155,33000,33,White,14,14,14,5,7,no,3,3,30,male
65,145,18000,18,White,12,12,12,2,3,no,0,0,22,female
62,120,30000,30,White,13,13,13,2,1,yes,1,1,43,female
62,112,26000,26,White,12,12,12,2,1,yes,7,7,31,female
62,120,5000,5,White,12,12,12,2,2,yes,4,4,21,female
69,163,5000,5,White,12,12,12,2,1,yes,7,7,18,female
62,130,20000,20,White,16,16,16,8,1,no,0,0,73,female
61,105,17000,17,White,12,12,12,5,6,yes,0,0,30,female
65,138,32000,32,White,14,14,14,2,1,yes,2,2,28,female
72,170,15000,15,White,14,14,14,7,6,no,0,0,22,male
66,120,0,0,White,17,17,17,8,6,no,3,3,41,female
72,248,50000,50,White,14,14,14,8,1,no,0,0,55,male
64,138,8000,8,White,12,NA,NA,3,2,no,2,2,39,female
71,190,40000,40,White,14,14,14,8,3,no,0,0,51,male
72,185,40000,40,White,15,15,15,8,6,no,3,3,41,male
66,130,32750,32.75,White,12,12,NA,7,5,yes,0,0,34,male
68,170,5000,5,White,12,12,12,8,3,yes,5,5,20,male
65,185,20000,20,White,14,14,14,3,1,no,0,0,69,female
65,128,36000,36,Black,15,15,15,8,7,no,0,0,39,female
62,170,6000,6,White,12,NA,NA,3,7,no,0,0,64,female
66,160,12000,12,Hispanic,14,14,14,7,7,no,2,2,34,female
67,150,60000,60,White,14,14,14,8,7,no,0,0,63,male
64,135,40000,40,White,13,13,13,8,2,yes,0,0,44,female
74,185,5000,5,Hispanic,13,13,13,5,7,no,0,0,19,male
63,117,43000,43,White,12,12,12,5,6,no,0,0,38,female
67,150,45000,45,White,16,16,16,8,1,no,3,3,34,female
68,190,6000,6,White,18,18,18,3,1,no,5,5,39,female
64,154,8000,8,Other,10,NA,10,7,1,no,0,0,82,female
64,170,20000,20,Black,13,13,13,8,1,no,5,5,39,female
66,165,17000,17,Black,12,12,12,8,6,no,0,0,23,male
65,112,2000,2,White,12,NA,NA,6,1,yes,7,7,32,female
65,180,65000,65,White,12,12,12,8,3,no,0,0,28,male
72,180,50000,50,White,12,12,12,4,4,no,1,1,41,male
68,128,0,0,White,11,11,11,6,5,yes,1,1,54,female
63,170,0,0,White,11,11,11,5,3,no,0,0,29,female
70,220,15000,15,White,13,NA,NA,1,1,no,0,0,21,male
68,140,11000,11,White,12,12,12,8,1,no,1,1,38,female
74,190,35000,35,White,18,18,18,5,7,no,0,0,30,male
63,185,27000,27,White,12,12,12,1,2,no,1,1,33,male
64,135,3500,3.5,White,12,12,12,8,1,no,0,0,61,female
65,132,15000,15,White,7,7,7,1,1,yes,0,0,77,female
68,180,42000,42,White,12,12,12,8,4,yes,2,2,37,male
61,200,15000,15,White,12,12,NA,5,1,no,0,0,61,female
67,130,20000,20,White,18,18,18,3,3,no,0,0,29,female
67,125,15000,15,White,12,12,12,8,1,yes,3,3,29,female
73,207,10000,10,White,12,12,12,2,7,no,1,1,21,male
62,105,0,0,White,12,NA,NA,1,1,yes,2,2,48,female
70,176,6000,6,White,8,8,8,8,7,no,0,0,78,male
71,200,25000,25,White,12,NA,NA,5,1,no,2,2,80,male
65,200,17000,17,Hispanic,16,NA,NA,8,1,no,3,3,23,female
69,148,35000,35,Hispanic,16,16,16,8,1,no,0,0,65,male
77,203,28000,28,White,14,14,14,8,7,no,0,0,28,male
68,165,15000,15,White,12,NA,NA,6,3,yes,1,1,33,female
62,110,20000,20,White,17,17,17,6,1,yes,0,0,24,female
64,128,20000,20,White,12,12,12,4,1,no,3,3,29,female
67,150,10500,10.5,Hispanic,12,12,NA,7,4,no,1,1,42,male
70,165,13000,13,White,16,16,16,7,7,no,2,2,22,male
62,123,10000,10,White,12,12,12,1,4,no,7,7,52,female
63,170,3000,3,White,12,12,NA,8,3,no,5,5,37,female
62,116,24000,24,White,14,14,14,1,4,yes,7,7,29,female
63,117,0,0,White,17,17,17,1,1,no,4,4,41,female
69,160,17000,17,White,13,13,13,1,1,yes,7,7,35,female
64,122,11000,11,White,12,12,NA,1,1,yes,0,0,48,female
64,154,0,0,White,14,14,14,6,1,no,7,7,37,female
69,185,32000,32,White,14,14,14,1,4,yes,4,4,40,female
59,95,17000,17,White,15,15,15,2,1,no,5,5,26,female
61,115,15000,15,White,16,16,16,5,6,no,0,0,47,female
60,125,25000,25,White,12,12,12,4,1,no,0,0,75,female
72,225,136500,136.5,White,12,12,12,4,4,no,0,0,49,male
66,NA,3000,3,Other,12,12,NA,7,7,no,7,7,35,female
63,160,15000,15,White,8,NA,NA,8,6,no,0,0,60,female
65,150,0,0,White,12,12,12,1,1,yes,0,0,41,female
70,200,25000,25,White,18,18,18,8,1,no,1,1,58,male
72,250,5000,5,White,14,14,14,2,1,no,0,0,48,male
62,125,2100,2.1,Black,12,12,12,6,1,yes,6,6,21,female
70,148,15000,15,Black,10,10,10,8,1,yes,0,0,82,male
60,120,15000,15,White,13,NA,13,8,1,no,0,0,76,female
66,140,15000,15,Black,12,12,12,2,1,no,3,3,29,female
64,160,15000,15,Hispanic,12,12,12,8,6,yes,0,0,34,male
71,180,15000,15,White,16,16,16,2,6,no,2,2,23,male
73,250,5000,5,Black,12,12,12,7,5,yes,0,0,27,male
75,180,3192,3.192,Black,11,11,11,8,7,yes,0,0,34,male
62,110,15000,15,Other,12,12,12,6,1,no,0,0,25,female
63,123,17000,17,White,17,17,17,5,5,no,1,1,26,female
65,150,30000,30,White,13,13,13,7,7,no,7,7,28,female
70,135,15000,15,White,12,12,12,1,1,no,0,0,32,male
64,110,5000,5,White,16,16,16,7,6,no,0,0,26,female
68,170,24000,24,White,16,16,16,6,4,no,1,1,42,female
65,154,10000,10,White,14,14,14,8,1,no,0,0,67,female
69,150,50000,50,White,8,8,8,2,7,yes,0,0,53,male
64,170,15000,15,White,11,NA,NA,1,1,no,0,0,77,female
72,168,50000,50,White,16,16,16,3,2,no,0,0,53,male
69,160,136500,136.5,White,12,12,12,8,2,yes,0,0,38,male
64,150,20000,20,White,17,17,17,4,2,no,0,0,49,female
63,108,30000,30,Hispanic,18,18,18,7,2,no,0,0,54,female
68,122,5000,5,White,18,18,18,2,1,no,2,2,41,female
64,135,0,0,White,12,12,12,1,1,yes,1,1,63,female
66,130,0,0,White,10,10,10,6,1,no,0,0,48,female
70,165,25000,25,White,12,12,12,1,1,no,0,0,37,male
63,134,0,0,White,5,NA,5,7,1,no,0,0,58,female
73,180,22000,22,White,14,14,14,5,1,no,0,0,45,female
75,200,27000,27,White,12,12,12,1,7,no,0,0,24,male
65,210,4000,4,White,12,12,12,4,2,no,1,1,38,female
64,140,35000,35,White,16,16,16,8,4,no,0,0,41,female
66,160,17500,17.5,White,17,17,17,4,1,no,0,0,26,female
66,112,16500,16.5,White,14,14,14,7,6,no,3,3,28,female
64,190,28000,28,White,16,16,16,3,1,no,5,5,39,female
66,140,52000,52,White,18,18,18,2,5,no,0,0,50,female
64,108,15000,15,White,16,16,16,2,6,no,0,0,29,female
63,140,19000,19,White,13,13,13,8,7,no,2,2,32,female
63,125,0,0,White,13,13,13,8,4,no,0,0,44,female
67,132,5000,5,Black,12,12,NA,3,1,no,2,2,19,female
69,135,15000,15,White,12,12,NA,5,1,no,1,1,34,female
73,170,27000,27,White,12,12,12,6,6,yes,2,2,23,male
72,171,15000,15,White,8,8,8,1,7,yes,6,6,58,male
66,196,0,0,White,12,12,12,1,2,no,5,5,24,female
72,195,15000,15,White,14,14,14,8,5,no,1,1,33,male
64,150,14500,14.5,White,12,NA,NA,7,1,no,0,0,55,female
64,106,24000,24,White,13,13,13,2,1,no,0,0,30,female
61,115,5000,5,White,12,12,12,4,2,no,1,1,18,female
68,145,18000,18,White,15,15,15,7,7,no,0,0,36,male
62,118,4000,4,White,12,12,12,8,2,no,0,0,68,female
64,129,15000,15,White,12,NA,NA,6,1,no,0,0,85,female
69,NA,4000,4,White,13,13,13,6,1,no,0,0,57,female
66,160,20000,20,White,15,15,15,4,7,no,0,0,53,female
60,98,700,0.7,White,12,12,12,8,1,no,7,7,36,female
